year,min_salary,max_salary,monthly_premium,employee_share,employer_share
2025,10000,10999,500,250,250
2025,11000,11999,550,275,275
2025,12000,12999,600,300,300
2025,13000,13999,650,325,325
2025,14000,14999,700,350,350
2025,15000,15999,750,375,375
2025,16000,16999,800,400,400
2025,17000,17999,850,425,425
2025,18000,18999,900,450,450
2025,19000,19999,950,475,475
2025,20000,20999,1000,500,500
2025,21000,21999,1050,525,525
2025,22000,22999,1100,550,550
2025,23000,23999,1150,575,575
2025,24000,24999,1200,600,600
2025,25000,25999,1250,625,625
2025,26000,26999,1300,650,650
2025,27000,27999,1350,675,675
2025,28000,28999,1400,700,700
2025,29000,29999,1450,725,725
2025,30000,30999,1500,750,750
2025,31000,31999,1550,775,775
2025,32000,32999,1600,800,800
2025,33000,33999,1650,825,825
2025,34000,34999,1700,850,850
2025,35000,35999,1750,875,875
2025,36000,36999,1800,900,900
2025,37000,37999,1850,925,925
2025,38000,38999,1900,950,950
2025,39000,39999,1950,975,975
2025,40000,40999,2000,1000,1000
2025,41000,41999,2050,1025,1025
2025,42000,42999,2100,1050,1050
2025,43000,43999,2150,1075,1075
2025,44000,44999,2200,1100,1100
2025,45000,45999,2250,1125,1125
2025,46000,46999,2300,1150,1150
2025,47000,47999,2350,1175,1175
2025,48000,48999,2400,1200,1200
2025,49000,49999,2450,1225,1225
2025,50000,50999,2500,1250,1250
2025,51000,51999,2550,1275,1275
2025,52000,52999,2600,1300,1300
2025,53000,53999,2650,1325,1325
2025,54000,54999,2700,1350,1350
2025,55000,55999,2750,1375,1375
2025,56000,56999,2800,1400,1400
2025,57000,57999,2850,1425,1425
2025,58000,58999,2900,1450,1450
2025,59000,59999,2950,1475,1475
2025,60000,60999,3000,1500,1500
2025,61000,61999,3050,1525,1525
2025,62000,62999,3100,1550,1550
2025,63000,63999,3150,1575,1575
2025,64000,64999,3200,1600,1600
2025,65000,65999,3250,1625,1625
2025,66000,66999,3300,1650,1650
2025,67000,67999,3350,1675,1675
2025,68000,68999,3400,1700,1700
2025,69000,69999,3450,1725,1725
2025,70000,70999,3500,1750,1750
2025,71000,71999,3550,1775,1775
2025,72000,72999,3600,1800,1800
2025,73000,73999,3650,1825,1825
2025,74000,74999,3700,1850,1850
2025,75000,75999,3750,1875,1875
2025,76000,76999,3800,1900,1900
2025,77000,77999,3850,1925,1925
2025,78000,78999,3900,1950,1950
2025,79000,79999,3950,1975,1975
2025,80000,80999,4000,2000,2000
2025,81000,81999,4050,2025,2025
2025,82000,82999,4100,2050,2050
2025,83000,83999,4150,2075,2075
2025,84000,84999,4200,2100,2100
2025,85000,85999,4250,2125,2125
2025,86000,86999,4300,2150,2150
2025,87000,87999,4350,2175,2175
2025,88000,88999,4400,2200,2200
2025,89000,89999,4450,2225,2225
2025,90000,90999,4500,2250,2250
2025,91000,91999,4550,2275,2275
2025,92000,92999,4600,2300,2300
2025,93000,93999,4650,2325,2325
2025,94000,94999,4700,2350,2350
2025,95000,95999,4750,2375,2375
2025,96000,96999,4800,2400,2400
2025,97000,97999,4850,2425,2425
2025,98000,98999,4900,2450,2450
2025,99000,99999,4950,2475,2475
2025,100000,100000,5000,2500,2500
