year,range_from,range_to,monthly_salary_credit,employer_regular_ss,employer_mpf,employer_ec,employer_total,employee_regular_ss,employee_mpf,employee_total,total_contribution
2023,0,4250,4000,380,0,10,390,180,0,180,570
2023,4250,4749.99,4500,427.5,0,10,437.5,202.5,0,202.5,640
2023,4750,5249.99,5000,475,0,10,485,225,0,225,710
2023,5250,5749.99,5500,522.5,0,10,532.5,247.5,0,247.5,780
2023,5750,6249.99,6000,570,0,10,580,270,0,270,850
2023,6250,6749.99,6500,617.5,0,10,627.5,292.5,0,292.5,920
2023,6750,7249.99,7000,665,0,10,675,315,0,315,990
2023,7250,7749.99,7500,712.5,0,10,722.5,337.5,0,337.5,1060
2023,7750,8249.99,8000,760,0,10,770,360,0,360,1130
2023,8250,8749.99,8500,807.5,0,10,817.5,382.5,0,382.5,1200
2023,8750,9249.99,9000,855,0,10,865,405,0,405,1270
2023,9250,9749.99,9500,902.5,0,10,912.5,427.5,0,427.5,1340
2023,9750,10249.99,10000,950,0,10,960,450,0,450,1410
2023,10250,10749.99,10500,997.5,0,10,1007.5,472.5,0,472.5,1480
2023,10750,11249.99,11000,1045,0,10,1055,495,0,495,1550
2023,11250,11749.99,11500,1092.5,0,10,1102.5,517.5,0,517.5,1620
2023,11750,12249.99,12000,1140,0,10,1150,540,0,540,1690
2023,12250,12749.99,12500,1187.5,0,10,1197.5,562.5,0,562.5,1760
2023,12750,13249.99,13000,1235,0,10,1245,585,0,585,1830
2023,13250,13749.99,13500,1282.5,0,10,1292.5,607.5,0,607.5,1900
2023,13750,14249.99,14000,1330,0,10,1340,630,0,630,1970
2023,14250,14749.99,14500,1377.5,0,10,1387.5,652.5,0,652.5,2040
2023,14750,15249.99,15000,1425,0,30,1455,675,0,675,2130
2023,15250,15749.99,15500,1472.5,0,30,1502.5,697.5,0,697.5,2200
2023,15750,16249.99,16000,1520,0,30,1550,720,0,720,2270
2023,16250,16749.99,16500,1567.5,0,30,1597.5,742.5,0,742.5,2340
2023,16750,17249.99,17000,1615,0,30,1645,765,0,765,2410
2023,17250,17749.99,17500,1662.5,0,30,1692.5,787.5,0,787.5,2480
2023,17750,18249.99,18000,1710,0,30,1740,810,0,810,2550
2023,18250,18749.99,18500,1757.5,0,30,1787.5,832.5,0,832.5,2620
2023,18750,19249.99,19000,1805,0,30,1835,855,0,855,2690
2023,19250,19749.99,19500,1852.5,0,30,1882.5,877.5,0,877.5,2760
2023,19750,20249.99,20000,1900,0,30,1930,900,0,900,2830
2023,20250,20749.99,20500,1900,47.5,30,1977.5,900,22.5,922.5,2900
2023,20750,21249.99,21000,1900,95,30,2025,900,45,945,2970
2023,21250,21749.99,21500,1900,142.5,30,2072.5,900,67.5,967.5,3040
2023,21750,22249.99,22000,1900,190,30,2120,900,90,990,3110
2023,22250,22749.99,22500,1900,237.5,30,2167.5,900,112.5,1012.5,3180
2023,22750,23249.99,23000,1900,285,30,2215,900,135,1035,3250
2023,23250,23749.99,23500,1900,332.5,30,2262.5,900,157.5,1057.5,3320
2023,23750,24249.99,24000,1900,380,30,2310,900,180,1080,3390
2023,24250,24749.99,24500,1900,427.5,30,2357.5,900,202.5,1102.5,3460
2023,24750,25249.99,25000,1900,475,30,2405,900,225,1125,3530
2023,25250,25749.99,25500,1900,522.5,30,2452.5,900,247.5,1147.5,3600
2023,25750,26249.99,26000,1900,570,30,2500,900,270,1170,3670
2023,26250,26749.99,26500,1900,617.5,30,2547.5,900,292.5,1192.5,3740
2023,26750,27249.99,27000,1900,665,30,2595,900,315,1215,3810
2023,27250,27749.99,27500,1900,712.5,30,2642.5,900,337.5,1237.5,3880
2023,27750,28249.99,28000,1900,760,30,2690,900,360,1260,3950
2023,28250,28749.99,28500,1900,807.5,30,2737.5,900,382.5,1282.5,4020
2023,28750,29249.99,29000,1900,855,30,2785,900,405,1305,4090
2023,29250,29749.99,29500,1900,902.5,30,2832.5,900,427.5,1327.5,4160
2023,29750,100000000,30000,1900,950,30,2880,900,450,1350,4230
