frequency,range_from,range_to,fix,rate
daily,0,685,0,0
daily,685.01,1095.99,0,0.15
daily,1095,2191.99,61.65,0.2
daily,2192,5478.99,280.85,0.25
daily,5479,21917.99,1102.6,0.3
daily,21918,1000000000,6034.3,0.35
weekly,0,4808,0,0
weekly,4808.01,7691.99,0,0.15
weekly,7692,15384.99,432.6,0.2
weekly,15385,38461.99,1971.2,0.25
weekly,38462,153845.99,7740.45,0.3
weekly,153846,1000000000,42355.65,0.35
semi-monthly,0,10417,0,0
semi-monthly,10417.01,16666.99,0,0.15
semi-monthly,16667,33332.99,937.5,0.2
semi-monthly,33333,83332.99,4270.7,0.25
semi-monthly,83333,333332.99,16770.7,0.3
semi-monthly,333333,1000000000,91770.7,0.35
monthly,0,20833,0,0
monthly,20833.01,33332.99,0,0.15
monthly,33333,66666.99,1875,0.2
monthly,66667,166666.99,8541.8,0.25
monthly,166667,666666.99,33541.8,0.3
monthly,666667,1000000000,183541.8,0.35
